Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 1-2-3,,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 1-2-3
t1,0-0,0,"['', '', '']",10(3-2) CCBFFBFBFC,O,BOS,J. Damon,J. Lieber,-2%,48%,Strikeout Looking
t1,0-0,1,"['', '', '']",3(1-1) FBH,,BOS,B. Mueller,J. Lieber,2%,50%,Hit By Pitch
t1,0-0,1,"['Mueller', '', '']",4(1-2) BCSX,O,BOS,M. Ramirez,J. Lieber,-3%,47%,Flyball: RF
t1,0-0,2,"['Mueller', '', '']",2(1-0) BX,O,BOS,D. Ortiz,J. Lieber,-2%,45%,Groundout: 1B unassisted
,,,,,,,,,0 runs 0 hits 0 errors 1 LOB. Red Sox 0 Yankees 0.,0 runs 0 hits 0 errors 1 LOB. Red Sox 0 Yankees 0.,0 runs 0 hits 0 errors 1 LOB. Red Sox 0 Yankees 0.
Bottom of the 1st Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,,Bottom of the 1st Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3
b1,0-0,0,"['', '', '']",1(0-0) X,O,NYY,D. Jeter,C. Schilling,2%,47%,Flyball: RF
b1,0-0,1,"['', '', '']",8(2-2) FBCBFFFX,O,NYY,A. Rodriguez,C. Schilling,2%,49%,Lineout: SS
b1,0-0,2,"['', '', '']",2(0-1) CX,O,NYY,G. Sheffield,C. Schilling,1%,50%,Popfly: 1B
