Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Red Sox Batting Tied 0-0 Angels' Jarrod Washburn facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Angels' Jarrod Washburn facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Angels' Jarrod Washburn facing 1-2-3,,Top of the 1st Red Sox Batting Tied 0-0 Angels' Jarrod Washburn facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Angels' Jarrod Washburn facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Angels' Jarrod Washburn facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Angels' Jarrod Washburn facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Angels' Jarrod Washburn facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Angels' Jarrod Washburn facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Angels' Jarrod Washburn facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Angels' Jarrod Washburn facing 1-2-3
t1,0-0,0,"______, ______, ______",4(1-2) BCCX,O,BOS,J. Damon,J. Washburn,-2%,48%,Popfly: SS
t1,0-0,1,"______, ______, ______",4(2-1) CBBX,O,BOS,M. Bellhorn,J. Washburn,-2%,46%,Flyball: RF
t1,0-0,2,"______, ______, ______",8(3-2) BSSFFBBX,,BOS,M. Ramirez,J. Washburn,2%,48%,Double to LF (Ground Ball)
t1,0-0,2,"______, M. Ramirez, ______",1(0-0) X,R,BOS,D. Ortiz,J. Washburn,9%,57%,Single to 2B (Ground Ball); M. Ramirez Scores
t1,1-0,2,"D. Ortiz, ______, ______",4(1-2) BCFX,O,BOS,K. Millar,J. Washburn,-2%,55%,Flyball: RF
,,,,,,,,,1 run 2 hits 0 errors 1 LOB. Red Sox 1 Angels 0.,1 run 2 hits 0 errors 1 LOB. Red Sox 1 Angels 0.,1 run 2 hits 0 errors 1 LOB. Red Sox 1 Angels 0.
Bottom of the 1st Angels Batting Behind 0-1 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Angels Batting Behind 0-1 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Angels Batting Behind 0-1 Red Sox' Curt Schilling facing 1-2-3,,Bottom of the 1st Angels Batting Behind 0-1 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Angels Batting Behind 0-1 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Angels Batting Behind 0-1 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Angels Batting Behind 0-1 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Angels Batting Behind 0-1 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Angels Batting Behind 0-1 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Angels Batting Behind 0-1 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Angels Batting Behind 0-1 Red Sox' Curt Schilling facing 1-2-3
b1,0-1,0,"______, ______, ______",3(0-2) CCS,O,ANA,C. Figgins,C. Schilling,2%,57%,Strikeout Swinging
b1,0-1,1,"______, ______, ______",3(1-1) CBX,,ANA,D. Erstad,C. Schilling,-3%,55%,Single to CF (Fly Ball)
