Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Devil Rays Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Devil Rays Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Devil Rays Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,,Top of the 1st Devil Rays Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Devil Rays Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Devil Rays Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Devil Rays Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Devil Rays Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Devil Rays Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Devil Rays Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Devil Rays Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3
t1,0-0,0,"['', '', '']",7(2-2) CCFBBFX,O,TBD,C. Crawford,C. Schilling,2%,52%,Flyball: CF
t1,0-0,1,"['', '', '']",3(1-1) CBX,,TBD,R. Baldelli,C. Schilling,-2%,50%,Single to SS (Ground Ball)
t1,0-0,1,"['Baldelli', '', '']",3(1-1) CBX,,TBD,A. Huff,C. Schilling,-6%,44%,Single to 2B (Ground Ball to Short RF); Baldelli to 3B
t1,0-0,1,"['Huff', '', 'Baldelli']",2(1-0) BX,O,TBD,R. Fick,C. Schilling,6%,50%,Popfly: 3B
t1,0-0,2,"['Huff', '', 'Baldelli']",8(3-2) CBB*BS>F>F>S,O,TBD,T. Martinez,C. Schilling,5%,55%,Strikeout Swinging
,,,,,,,,,0 runs 2 hits 0 errors 2 LOB. Devil Rays 0 Red Sox 0.,0 runs 2 hits 0 errors 2 LOB. Devil Rays 0 Red Sox 0.,0 runs 2 hits 0 errors 2 LOB. Devil Rays 0 Red Sox 0.
Bottom of the 1st Red Sox Batting Tied 0-0 Devil Rays' Paul Abbott facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Devil Rays' Paul Abbott facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Devil Rays' Paul Abbott facing 1-2-3,,Bottom of the 1st Red Sox Batting Tied 0-0 Devil Rays' Paul Abbott facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Devil Rays' Paul Abbott facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Devil Rays' Paul Abbott facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Devil Rays' Paul Abbott facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Devil Rays' Paul Abbott facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Devil Rays' Paul Abbott facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Devil Rays' Paul Abbott facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Devil Rays' Paul Abbott facing 1-2-3
b1,0-0,0,"['', '', '']",4(2-1) BCBX,O,BOS,J. Damon,P. Abbott,-2%,53%,Groundout: 2B-1B
b1,0-0,1,"['', '', '']",7(3-2) CBTFBBX,O,BOS,B. Mueller,P. Abbott,-2%,51%,Popfly: 1B
b1,0-0,2,"['', '', '']",6(3-2) CBFBBS,O,BOS,D. Ortiz,P. Abbott,-1%,50%,Strikeout Swinging
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Devil Rays 0 Red Sox 0.,0 runs 0 hits 0 errors 0 LOB. Devil Rays 0 Red Sox 0.,0 runs 0 hits 0 errors 0 LOB. Devil Rays 0 Red Sox 0.
Top of the 2nd Devil Rays Batting Tied 0-0 Red Sox' Curt Schilling facing 6-7-8,Top of the 2nd Devil Rays Batting Tied 0-0 Red Sox' Curt Schilling facing 6-7-8,Top of the 2nd Devil Rays Batting Tied 0-0 Red Sox' Curt Schilling facing 6-7-8,,Top of the 2nd Devil Rays Batting Tied 0-0 Red Sox' Curt Schilling facing 6-7-8,Top of the 2nd Devil Rays Batting Tied 0-0 Red Sox' Curt Schilling facing 6-7-8,Top of the 2nd Devil Rays Batting Tied 0-0 Red Sox' Curt Schilling facing 6-7-8,Top of the 2nd Devil Rays Batting Tied 0-0 Red Sox' Curt Schilling facing 6-7-8,Top of the 2nd Devil Rays Batting Tied 0-0 Red Sox' Curt Schilling facing 6-7-8,Top of the 2nd Devil Rays Batting Tied 0-0 Red Sox' Curt Schilling facing 6-7-8,Top of the 2nd Devil Rays Batting Tied 0-0 Red Sox' Curt Schilling facing 6-7-8,Top of the 2nd Devil Rays Batting Tied 0-0 Red Sox' Curt Schilling facing 6-7-8
t2,0-0,0,"['', '', '']",5(2-2) CCBBX,O,TBD,J. Lugo,C. Schilling,2%,52%,Lineout: 3B
t2,0-0,1,"['', '', '']",2(0-1) CX,O,TBD,J. Cruz,C. Schilling,2%,54%,Flyball: CF
t2,0-0,2,"['', '', '']",8(2-2) BCBCFFFX,,TBD,T. Hall,C. Schilling,-1%,53%,Single to RF (Line Drive)
t2,0-0,2,"['Hall', '', '']",2(1-0) BX,O,TBD,R. Sanchez,C. Schilling,2%,55%,Groundout: SS unassisted/Forceout at 2B
