Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Yankees Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,,Top of the 1st Yankees Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3
t1,0-0,0,"['', '', '']",1(0-0) X,O,NYY,B. Williams,B. Arroyo,2%,52%,Flyball: CF (Deep CF)
t1,0-0,1,"['', '', '']",2(1-0) BX,O,NYY,D. Jeter,B. Arroyo,2%,54%,Popfly: 2B
t1,0-0,2,"['', '', '']",2(0-1) CX,O,NYY,G. Sheffield,B. Arroyo,1%,55%,Flyball: CF
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Yankees 0 Red Sox 0.,0 runs 0 hits 0 errors 0 LOB. Yankees 0 Red Sox 0.,0 runs 0 hits 0 errors 0 LOB. Yankees 0 Red Sox 0.
Bottom of the 1st Red Sox Batting Tied 0-0 Yankees' Tanyon Sturtze facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Yankees' Tanyon Sturtze facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Yankees' Tanyon Sturtze facing 1-2-3,,Bottom of the 1st Red Sox Batting Tied 0-0 Yankees' Tanyon Sturtze facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Yankees' Tanyon Sturtze facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Yankees' Tanyon Sturtze facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Yankees' Tanyon Sturtze facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Yankees' Tanyon Sturtze facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Yankees' Tanyon Sturtze facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Yankees' Tanyon Sturtze facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Yankees' Tanyon Sturtze facing 1-2-3
b1,0-0,0,"['', '', '']",6(3-2) BBCFBS,O,BOS,J. Damon,T. Sturtze,-2%,53%,Strikeout Swinging
b1,0-0,1,"['', '', '']",5(1-2) CSFBX,O,BOS,J. Varitek,T. Sturtze,-2%,51%,Groundout: SS-1B
b1,0-0,2,"['', '', '']",2(1-0) BX,O,BOS,D. Ortiz,T. Sturtze,-1%,50%,Groundout: 2B-1B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Yankees 0 Red Sox 0.,0 runs 0 hits 0 errors 0 LOB. Yankees 0 Red Sox 0.,0 runs 0 hits 0 errors 0 LOB. Yankees 0 Red Sox 0.
Top of the 2nd Yankees Batting Tied 0-0 Red Sox' Bronson Arroyo facing 4-5-6,Top of the 2nd Yankees Batting Tied 0-0 Red Sox' Bronson Arroyo facing 4-5-6,Top of the 2nd Yankees Batting Tied 0-0 Red Sox' Bronson Arroyo facing 4-5-6,,Top of the 2nd Yankees Batting Tied 0-0 Red Sox' Bronson Arroyo facing 4-5-6,Top of the 2nd Yankees Batting Tied 0-0 Red Sox' Bronson Arroyo facing 4-5-6,Top of the 2nd Yankees Batting Tied 0-0 Red Sox' Bronson Arroyo facing 4-5-6,Top of the 2nd Yankees Batting Tied 0-0 Red Sox' Bronson Arroyo facing 4-5-6,Top of the 2nd Yankees Batting Tied 0-0 Red Sox' Bronson Arroyo facing 4-5-6,Top of the 2nd Yankees Batting Tied 0-0 Red Sox' Bronson Arroyo facing 4-5-6,Top of the 2nd Yankees Batting Tied 0-0 Red Sox' Bronson Arroyo facing 4-5-6,Top of the 2nd Yankees Batting Tied 0-0 Red Sox' Bronson Arroyo facing 4-5-6
t2,0-0,0,"['', '', '']",6(3-2) BCCBBX,,NYY,A. Rodriguez,B. Arroyo,-4%,46%,Reached on E1 (catch) (Ground Ball to 2B)
t2,0-0,0,"['Rodriguez', '', '']",9(3-2) FBCF1BFFB1>X,,NYY,J. Posada,B. Arroyo,-8%,38%,Single to CF (Line Drive); Rodriguez to 3B
t2,0-0,0,"['Posada', '', 'Rodriguez']",3(2-0) BBX,R,NYY,H. Matsui,B. Arroyo,-10%,28%,Double to CF (Fly Ball to Deep CF); Rodriguez Scores/unER; Posada to 3B
t2,1-0,0,"['', 'Matsui', 'Posada']",3(1-1) CBX,O,NYY,R. Sierra,B. Arroyo,5%,33%,Lineout: SS
t2,1-0,1,"['', 'Matsui', 'Posada']",4(1-2) CFBX,RO,NYY,T. Clark,B. Arroyo,-0%,33%,Groundout: 1B-P; Posada Scores/unER; Matsui to 3B
