Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Red Sox Batting Tied 0-0 Giants' Noah Lowry facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Giants' Noah Lowry facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Giants' Noah Lowry facing 1-2-3,,Top of the 1st Red Sox Batting Tied 0-0 Giants' Noah Lowry facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Giants' Noah Lowry facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Giants' Noah Lowry facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Giants' Noah Lowry facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Giants' Noah Lowry facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Giants' Noah Lowry facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Giants' Noah Lowry facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Giants' Noah Lowry facing 1-2-3
t1,0-0,0,"['', '', '']",3(1-1) CBX,,BOS,M. Bellhorn,N. Lowry,-9%,41%,Triple to RF (Line Drive to Deep RF)
t1,0-0,0,"['', '', 'Bellhorn']",5(2-2) CFBBX,O,BOS,K. Youkilis,N. Lowry,4%,46%,Groundout: 3B-1B
t1,0-0,1,"['', '', 'Bellhorn']",4(1-2) CBFX,O,BOS,D. Ortiz,N. Lowry,6%,51%,Groundout: P-1B
t1,0-0,2,"['', '', 'Bellhorn']",6(2-2) CFBBFS,O,BOS,M. Ramirez,N. Lowry,4%,55%,Strikeout Swinging
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Red Sox 0 Giants 0.,0 runs 1 hit 0 errors 1 LOB. Red Sox 0 Giants 0.,0 runs 1 hit 0 errors 1 LOB. Red Sox 0 Giants 0.
Bottom of the 1st Giants Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Giants Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Giants Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,,Bottom of the 1st Giants Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Giants Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Giants Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Giants Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Giants Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Giants Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Giants Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Giants Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3
b1,0-0,0,"['', '', '']",6(3-2) CBSBBX,R,SFG,R. Durham,P. Martinez,10%,65%,Home Run (Fly Ball)
b1,1-0,0,"['', '', '']",1(0-0) X,,SFG,D. Mohr,P. Martinez,3%,68%,Single to CF (Line Drive to CF-RF)
b1,1-0,0,"['Mohr', '', '']",4(1-2) CBFX,R,SFG,M. Grissom,P. Martinez,10%,77%,Double to CF (Fly Ball to Deep LF-CF); Mohr Scores
